data,Prêmio,Milhar,Grupo,Bicho
17/05/2022,4º,3932,8,Camelo
17/05/2022,5º,1317,5,Cachorro
16/05/2022,1º,8628,7,Carneiro
16/05/2022,2º,5373,19,Pavão
16/05/2022,3º,3886,22,Tigre
16/05/2022,4º,1132,8,Camelo
16/05/2022,5º,9748,12,Elefante
14/05/2022,1º,383,21,Touro
14/05/2022,2º,741,11,Cavalo
14/05/2022,3º,2743,11,Cavalo
14/05/2022,4º,478,20,Peru
14/05/2022,5º,8730,8,Camelo
13/05/2022,1º,9167,17,Macaco
13/05/2022,2º,4481,21,Touro
13/05/2022,3º,2520,5,Cachorro
13/05/2022,4º,541,11,Cavalo
13/05/2022,5º,2587,22,Tigre
12/05/2022,1º,9371,18,Porco
12/05/2022,2º,1148,12,Elefante
12/05/2022,3º,8664,16,Leão
12/05/2022,4º,4476,19,Pavão
12/05/2022,5º,9452,13,Galo
11/05/2022,1º,1103,1,Avestruz
11/05/2022,2º,7436,9,Cobra
11/05/2022,3º,5645,12,Elefante
11/05/2022,4º,7839,10,Coelho
11/05/2022,5º,6316,4,Borboleta
10/05/2022,1º,5316,4,Borboleta
10/05/2022,2º,452,13,Galo
10/05/2022,3º,3108,2,Águia
10/05/2022,4º,1668,17,Macaco
10/05/2022,5º,1592,23,Urso
09/05/2022,1º,4865,17,Macaco
09/05/2022,2º,8082,21,Touro
09/05/2022,3º,5808,2,Águia
09/05/2022,4º,6707,2,Águia
09/05/2022,5º,2418,5,Cachorro
07/05/2022,1º,3515,4,Borboleta
07/05/2022,2º,1322,6,Cabra
07/05/2022,3º,2541,11,Cavalo
07/05/2022,4º,5683,21,Touro
07/05/2022,5º,6139,10,Coelho
06/05/2022,1º,4590,23,Urso
06/05/2022,2º,7013,4,Borboleta
06/05/2022,3º,183,21,Touro
06/05/2022,4º,2920,5,Cachorro
06/05/2022,5º,6080,20,Peru
05/05/2022,1º,4161,16,Leão
05/05/2022,2º,9945,12,Elefante
05/05/2022,3º,8700,25,Vaca
05/05/2022,4º,2940,10,Coelho
05/05/2022,5º,9876,19,Pavão
04/05/2022,1º,106,2,Águia
04/05/2022,2º,3962,16,Leão
04/05/2022,3º,2905,2,Águia
04/05/2022,4º,5928,7,Carneiro
04/05/2022,5º,1621,6,Cabra
03/05/2022,1º,6384,21,Touro
03/05/2022,2º,1171,18,Porco
03/05/2022,3º,5944,11,Cavalo
03/05/2022,4º,3290,23,Urso
03/05/2022,5º,8274,19,Pavão
02/05/2022,1º,9190,23,Urso
02/05/2022,2º,7792,23,Urso
02/05/2022,3º,7968,17,Macaco
02/05/2022,4º,6393,24,Veado
02/05/2022,5º,2126,7,Carneiro
30/04/2022,1º,3124,6,Cabra
30/04/2022,2º,9897,25,Vaca
30/04/2022,3º,5729,8,Camelo
30/04/2022,4º,5407,2,Águia
30/04/2022,5º,8378,20,Peru
29/04/2022,1º,522,6,Cabra
29/04/2022,2º,9723,6,Cabra
29/04/2022,3º,3883,21,Touro
29/04/2022,4º,2829,8,Camelo
29/04/2022,5º,6142,11,Cavalo
28/04/2022,1º,7850,13,Galo
28/04/2022,2º,5638,10,Coelho
28/04/2022,3º,3615,4,Borboleta
28/04/2022,4º,1272,18,Porco
28/04/2022,5º,1127,7,Carneiro
27/04/2022,1º,8381,21,Touro
27/04/2022,2º,4259,15,Jacaré
27/04/2022,3º,1807,2,Águia
27/04/2022,4º,9973,19,Pavão
27/04/2022,5º,3965,17,Macaco
26/04/2022,1º,1320,5,Cachorro
26/04/2022,2º,6514,4,Borboleta
26/04/2022,3º,3818,5,Cachorro
26/04/2022,4º,4517,5,Cachorro
26/04/2022,5º,1692,23,Urso
25/04/2022,1º,7230,8,Camelo
25/04/2022,2º,6141,11,Cavalo
25/04/2022,3º,1088,22,Tigre
25/04/2022,4º,7859,15,Jacaré
25/04/2022,5º,5618,5,Cachorro
23/04/2022,1º,2752,13,Galo
23/04/2022,2º,5531,8,Camelo
23/04/2022,3º,7714,4,Borboleta
23/04/2022,4º,5372,18,Porco
23/04/2022,5º,8907,2,Águia
22/04/2022,1º,697,25,Vaca
22/04/2022,2º,6422,6,Cabra
22/04/2022,3º,9273,19,Pavão
22/04/2022,4º,8350,13,Galo
22/04/2022,5º,2180,20,Peru
20/04/2022,1º,1356,14,Gato
20/04/2022,2º,3642,11,Cavalo
20/04/2022,3º,6459,15,Jacaré
20/04/2022,4º,2056,14,Gato
20/04/2022,5º,4614,4,Borboleta
19/04/2022,1º,2351,13,Galo
19/04/2022,2º,2579,20,Peru
19/04/2022,3º,6131,8,Camelo
19/04/2022,4º,1398,25,Vaca
19/04/2022,5º,7738,10,Coelho
18/04/2022,1º,9971,18,Porco
18/04/2022,2º,3296,24,Veado
18/04/2022,3º,5552,13,Galo
18/04/2022,4º,2575,19,Pavão
18/04/2022,5º,8365,17,Macaco
16/04/2022,1º,4520,5,Cachorro
16/04/2022,2º,3442,11,Cavalo
16/04/2022,3º,4740,10,Coelho
16/04/2022,4º,6816,4,Borboleta
16/04/2022,5º,2416,4,Borboleta
14/04/2022,1º,3755,14,Gato
14/04/2022,2º,6730,8,Camelo
14/04/2022,3º,2460,15,Jacaré
14/04/2022,4º,2699,25,Vaca
